Transmitance	
Time	19/07/2024 13:24:42	19/07/2024 13:27:18	19/07/2024 13:29:05	19/07/2024 13:30:07	19/07/2024 13:30:45	19/07/2024 13:32:09	19/07/2024 13:32:32	19/07/2024 13:33:10	19/07/2024 13:33:45	19/07/2024 13:34:03	19/07/2024 13:34:55	19/07/2024 13:35:19	19/07/2024 13:36:01	19/07/2024 13:36:23	19/07/2024 13:36:40	
Name																
GPS		55° 51.7079' N  -3° 371.9505' W	55° 51.7116' N  -3° 371.9566' W	55° 51.7089' N  -3° 371.9482' W	55° 51.7100' N  -3° 371.9536' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	
[nm]	
363.6	0.000000E+000	5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	5.000000E-001	0.000000E+000	-5.000000E-001	-5.000000E-001	0.000000E+000	-5.000000E-001	0.000000E+000	0.000000E+000
365.5	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	3.333333E-001	0.000000E+000	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
367.4	3.333333E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000	-2.500000E-001	0.000000E+000	2.500000E-001	-2.500000E-001	0.000000E+000
369.3	0.000000E+000	0.000000E+000	0.000000E+000	-2.500000E-001	0.000000E+000	-3.333333E-001	3.333333E-001	3.333333E-001	0.000000E+000	3.333333E-001	0.000000E+000	0.000000E+000	3.333333E-001	-3.333333E-001	0.000000E+000
371.1	0.000000E+000	0.000000E+000	0.000000E+000	-2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.500000E-001	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000
373	0.000000E+000	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	2.000000E-001	2.000000E-001	-2.000000E-001	0.000000E+000	-2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
374.9	0.000000E+000	2.000000E-001	0.000000E+000	-2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	1.666667E-001	0.000000E+000	0.000000E+000	1.666667E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
376.8	2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.428571E-001	1.428571E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
378.7	0.000000E+000	0.000000E+000	1.666667E-001	1.666667E-001	0.000000E+000	0.000000E+000	1.250000E-001	1.250000E-001	0.000000E+000	-1.250000E-001	-1.250000E-001	0.000000E+000	1.250000E-001	0.000000E+000	0.000000E+000
380.6	0.000000E+000	0.000000E+000	1.666667E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.250000E-001	0.000000E+000	0.000000E+000	-1.250000E-001	0.000000E+000	1.250000E-001	0.000000E+000	0.000000E+000
382.5	0.000000E+000	1.250000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E-001	0.000000E+000	0.000000E+000	1.000000E-001	0.000000E+000	1.000000E-001	1.000000E-001	0.000000E+000
384.4	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	9.090909E-002	9.090909E-002	0.000000E+000	0.000000E+000	9.090909E-002	0.000000E+000	0.000000E+000	9.090909E-002	0.000000E+000
386.3	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	9.090909E-002	9.090909E-002	9.090909E-002	9.090909E-002	0.000000E+000	9.090909E-002	0.000000E+000	0.000000E+000
388.2	0.000000E+000	0.000000E+000	0.000000E+000	7.692308E-002	0.000000E+000	0.000000E+000	-7.142857E-002	7.142857E-002	7.142857E-002	-7.142857E-002	0.000000E+000	0.000000E+000	7.142857E-002	0.000000E+000	0.000000E+000
390.1	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	6.666667E-002	6.666667E-002	6.666667E-002	6.666667E-002	6.666667E-002	0.000000E+000	6.666667E-002	0.000000E+000	0.000000E+000
392	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	5.882353E-002	5.882353E-002	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	5.882353E-002	0.000000E+000
393.9	0.000000E+000	0.000000E+000	0.000000E+000	-4.545455E-002	0.000000E+000	0.000000E+000	5.000000E-002	5.000000E-002	5.000000E-002	0.000000E+000	0.000000E+000	0.000000E+000	5.000000E-002	5.000000E-002	0.000000E+000
395.7	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	4.000000E-002	4.000000E-002	0.000000E+000	-4.000000E-002	0.000000E+000	0.000000E+000	0.000000E+000	4.000000E-002	0.000000E+000
397.6	0.000000E+000	2.127660E-002	0.000000E+000	0.000000E+000	2.127660E-002	0.000000E+000	2.857143E-002	2.857143E-002	2.857143E-002	2.857143E-002	2.857143E-002	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
399.5	0.000000E+000	0.000000E+000	1.428571E-002	1.428571E-002	0.000000E+000	0.000000E+000	1.886792E-002	3.773585E-002	0.000000E+000	1.886792E-002	1.886792E-002	0.000000E+000	1.886792E-002	0.000000E+000	0.000000E+000
401.4	0.000000E+000	1.020408E-002	1.020408E-002	0.000000E+000	0.000000E+000	-1.369863E-002	1.369863E-002	2.739726E-002	0.000000E+000	0.000000E+000	1.369863E-002	1.369863E-002	1.369863E-002	1.369863E-002	0.000000E+000
403.3	0.000000E+000	7.874016E-003	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.030928E-002	1.030928E-002	0.000000E+000	1.030928E-002	1.030928E-002	1.030928E-002	0.000000E+000	0.000000E+000
405.2	6.250000E-003	6.250000E-003	6.250000E-003	0.000000E+000	0.000000E+000	0.000000E+000	1.612903E-002	1.612903E-002	0.000000E+000	8.064516E-003	0.000000E+000	0.000000E+000	8.064516E-003	8.064516E-003	0.000000E+000
407.1	0.000000E+000	5.128205E-003	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	6.622517E-003	1.324503E-002	6.622517E-003	0.000000E+000	0.000000E+000	0.000000E+000	6.622517E-003	0.000000E+000	6.622517E-003
409	0.000000E+000	3.906250E-003	0.000000E+000	0.000000E+000	0.000000E+000	5.050505E-003	5.050505E-003	1.010101E-002	5.050505E-003	5.050505E-003	5.050505E-003	5.050505E-003	5.050505E-003	5.050505E-003	5.050505E-003
