Transmitance	
Time	01/08/2024 13:35:11	01/08/2024 13:35:41	01/08/2024 13:36:10	01/08/2024 13:36:46	01/08/2024 13:37:06	01/08/2024 13:37:39	01/08/2024 13:38:01	01/08/2024 13:38:41	01/08/2024 13:38:57	01/08/2024 13:39:28	01/08/2024 13:39:55	01/08/2024 13:40:06	01/08/2024 13:40:34	01/08/2024 13:40:49	01/08/2024 13:40:59	
Name																
GPS	55° 51.7107' N  -3° 371.9486' W	55° 51.6984' N  -3° 371.9582' W	55° 51.7127' N  -3° 371.9564' W	55° 51.7077' N  -3° 371.9504' W	55° 51.7096' N  -3° 371.9523' W	55° 51.7080' N  -3° 371.9503' W	55° 51.7066' N  -3° 371.9498' W	55° 51.7112' N  -3° 371.9559' W	55° 51.7112' N  -3° 371.9559' W	55° 51.7096' N  -3° 371.9513' W	55° 51.7121' N  -3° 371.9547' W	55° 51.7121' N  -3° 371.9547' W	55° 51.7126' N  -3° 371.9603' W	55° 51.7126' N  -3° 371.9603' W	55° 51.7126' N  -3° 371.9603' W	
[nm]	
323.8	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
325.7	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
327.6	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
329.5	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
331.4	1.000000E+000	1.000000E+000	1.000000E+000	0.000000E+000	-1.000000E+000	1.000000E+000	-1.000000E+000	4.000000E+000	-1.000000E+000	1.060000E+002	4.000000E+000	-2.000000E+000	3.000000E+000	2.000000E+000	3.710000E+002
333.3	1.000000E+000	1.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	1.000000E+000	-1.000000E+000	4.000000E+000	-1.000000E+000	9.000000E+001	3.000000E+000	-3.000000E+000	4.000000E+000	2.000000E+000	4.150000E+002
335.2	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
337.1	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	-1.000000E+000	5.000000E+000	-2.000000E+000	1.000000E+002	4.000000E+000	-2.000000E+000	3.000000E+000	1.000000E+000	4.210000E+002
339	5.000000E-001	5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	5.000000E-001	0.000000E+000	2.000000E+000	-5.000000E-001	5.300000E+001	2.500000E+000	-1.000000E+000	2.000000E+000	1.000000E+000	8.050000E+001
340.9	1.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	5.000000E+000	1.000000E+000	9.700000E+001	5.000000E+000	-2.000000E+000	3.000000E+000	1.000000E+000	-1.490000E+002
