Transmitance	
Time	25/07/2024 16:33:08	25/07/2024 16:34:08	25/07/2024 16:34:42	25/07/2024 16:35:07	25/07/2024 16:35:44	25/07/2024 16:36:15	25/07/2024 16:36:35	25/07/2024 16:36:59	25/07/2024 16:37:38	25/07/2024 16:38:10	25/07/2024 16:38:34	25/07/2024 16:39:20	25/07/2024 16:39:45	25/07/2024 16:40:14	25/07/2024 16:40:27	25/07/2024 16:40:44	
Name																	
GPS	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7079' N  -3° 371.9466' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	
[nm]	
665.8	5.595521E-002	5.197856E-002	5.577305E-002	6.077215E-002	5.056315E-002	6.173583E-002	5.128591E-002	5.158706E-002	5.044269E-002	7.354093E-002	5.107511E-002	5.492983E-002	5.212913E-002	5.736915E-002	5.387581E-002	4.842498E-002
667.8	5.541765E-002	5.152603E-002	5.547576E-002	6.035308E-002	5.047876E-002	6.125075E-002	5.086774E-002	5.083782E-002	5.002992E-002	7.292041E-002	5.083782E-002	5.439856E-002	5.158588E-002	5.703172E-002	5.335129E-002	4.835428E-002
669.7	5.537778E-002	5.173589E-002	5.523437E-002	6.024489E-002	5.037208E-002	6.077856E-002	5.060927E-002	5.046103E-002	4.995701E-002	7.254885E-002	5.063892E-002	5.419669E-002	5.143941E-002	5.686501E-002	5.289217E-002	4.805953E-002
671.6	5.523715E-002	5.156780E-002	5.516556E-002	6.031356E-002	5.045630E-002	6.066456E-002	5.042705E-002	5.031005E-002	4.990055E-002	7.213057E-002	5.057330E-002	5.411255E-002	5.133380E-002	5.656956E-002	5.276705E-002	4.811630E-002
673.6	5.540966E-002	5.159670E-002	5.529249E-002	6.057631E-002	5.055726E-002	6.069181E-002	5.052838E-002	5.018190E-002	5.003754E-002	7.218340E-002	5.061500E-002	5.413755E-002	5.148120E-002	5.650517E-002	5.283825E-002	4.804527E-002
675.5	5.544949E-002	5.188881E-002	5.525303E-002	6.064148E-002	5.080542E-002	6.061297E-002	5.063435E-002	5.034925E-002	5.006415E-002	7.213115E-002	5.089095E-002	5.436921E-002	5.160371E-002	5.665004E-002	5.285816E-002	4.815396E-002
677.4	5.566981E-002	5.204723E-002	5.551329E-002	6.095190E-002	5.106095E-002	6.067010E-002	5.072280E-002	5.041283E-002	5.015921E-002	7.227999E-002	5.103277E-002	5.430158E-002	5.179361E-002	5.678136E-002	5.303351E-002	4.829938E-002
679.3	5.589267E-002	5.228140E-002	5.573341E-002	6.124551E-002	5.158542E-002	6.116199E-002	5.091729E-002	5.055539E-002	5.041619E-002	7.254809E-002	5.119568E-002	5.473122E-002	5.203085E-002	5.704184E-002	5.331143E-002	4.857883E-002
681.2	5.629887E-002	5.278229E-002	5.600374E-002	6.170324E-002	5.195628E-002	6.151050E-002	5.121286E-002	5.090999E-002	5.063465E-002	7.310223E-002	5.140560E-002	5.515020E-002	5.253449E-002	5.721523E-002	5.366337E-002	4.881742E-002
683.2	5.673449E-002	5.317146E-002	5.628154E-002	6.203792E-002	5.243487E-002	6.198336E-002	5.169827E-002	5.148002E-002	5.101623E-002	7.393261E-002	5.169827E-002	5.554495E-002	5.287137E-002	5.756377E-002	5.407175E-002	4.924294E-002
685.1	5.735951E-002	5.351388E-002	5.684496E-002	6.261341E-002	5.294516E-002	6.247800E-002	5.207854E-002	5.210562E-002	5.134733E-002	7.512525E-002	5.197021E-002	5.619499E-002	5.345972E-002	5.806364E-002	5.486798E-002	4.950575E-002
687	5.812702E-002	5.395587E-002	5.753498E-002	6.329386E-002	5.339074E-002	6.372443E-002	5.258342E-002	5.328310E-002	5.177610E-002	7.674919E-002	5.234123E-002	5.713132E-002	5.433262E-002	5.869214E-002	5.592034E-002	5.013455E-002
688.9	5.904079E-002	5.479012E-002	5.877632E-002	6.452821E-002	5.412130E-002	6.589261E-002	5.361299E-002	5.535194E-002	5.256962E-002	7.908184E-002	5.321170E-002	5.845528E-002	5.580674E-002	5.965917E-002	5.765269E-002	5.083068E-002
690.8	6.086609E-002	5.606929E-002	6.099933E-002	6.683544E-002	5.580280E-002	6.942039E-002	5.569620E-002	5.884077E-002	5.391073E-002	8.253165E-002	5.433711E-002	6.121252E-002	5.857428E-002	6.137242E-002	6.102598E-002	5.215190E-002
692.7	6.352241E-002	5.854552E-002	6.465231E-002	7.059979E-002	5.867828E-002	7.506040E-002	5.926241E-002	6.481162E-002	5.618246E-002	8.761915E-002	5.618246E-002	6.526299E-002	6.348406E-002	6.398853E-002	6.651090E-002	5.469559E-002
694.6	6.776605E-002	6.257454E-002	7.044605E-002	7.651533E-002	6.355517E-002	8.364475E-002	6.506586E-002	7.354695E-002	5.973868E-002	9.477618E-002	5.936763E-002	7.137367E-002	7.113514E-002	6.798124E-002	7.487212E-002	5.854602E-002
696.5	7.389958E-002	6.856599E-002	7.885618E-002	8.533714E-002	7.084094E-002	9.525699E-002	7.353914E-002	8.531069E-002	6.531228E-002	1.039071E-001	6.428061E-002	7.980848E-002	8.171309E-002	7.388303E-002	8.621009E-002	6.430707E-002
698.4	8.215807E-002	7.686003E-002	8.981545E-002	9.679552E-002	8.050870E-002	1.095394E-001	8.444820E-002	9.965100E-002	7.315848E-002	1.153826E-001	7.120195E-002	9.042356E-002	9.515626E-002	8.159272E-002	1.001798E-001	7.228597E-002
700.3	9.237576E-002	8.721777E-002	1.029673E-001	1.104582E-001	9.248524E-002	1.259430E-001	9.801742E-002	1.162551E-001	8.285026E-002	1.288547E-001	8.001800E-002	1.029673E-001	1.106964E-001	9.126764E-002	1.166521E-001	8.232087E-002
