Transmitance	
Time	25/07/2024 14:25:50	25/07/2024 14:26:11	25/07/2024 14:26:44	25/07/2024 14:27:27	25/07/2024 14:27:55	25/07/2024 14:28:25	25/07/2024 14:28:52	25/07/2024 14:29:17	25/07/2024 14:29:46	25/07/2024 14:30:06	25/07/2024 14:30:46	25/07/2024 14:31:14	25/07/2024 14:31:34	25/07/2024 14:31:53	25/07/2024 14:32:17	
Name																
GPS	55° 51.7070' N  -3° 371.9458' W	55° 51.7071' N  -3° 371.9502' W	55° 51.7105' N  -3° 371.9548' W	55° 51.7089' N  -3° 371.9486' W	55° 51.7101' N  -3° 371.9537' W	55° 51.7094' N  -3° 371.9506' W	55° 51.7083' N  -3° 371.9490' W	55° 51.7122' N  -3° 371.9517' W	55° 51.7095' N  -3° 371.9483' W	55° 51.7094' N  -3° 371.9496' W	55° 51.7121' N  -3° 371.9546' W	55° 51.7121' N  -3° 371.9546' W	55° 51.7121' N  -3° 371.9546' W	55° 51.7143' N  -3° 371.9564' W	55° 51.7143' N  -3° 371.9564' W	
[nm]	
363.6	0.000000E+000	0.000000E+000	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000	-2.500000E-001	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.500000E-001	2.500000E-001
365.5	-2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-2.500000E-001	0.000000E+000	0.000000E+000	-2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.500000E-001	0.000000E+000
367.4	0.000000E+000	2.500000E-001	0.000000E+000	2.500000E-001	0.000000E+000	2.500000E-001	0.000000E+000	2.500000E-001	2.500000E-001	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
369.3	0.000000E+000	0.000000E+000	-2.500000E-001	2.500000E-001	0.000000E+000	0.000000E+000	2.500000E-001	0.000000E+000	0.000000E+000	0.000000E+000	-2.500000E-001	0.000000E+000	2.500000E-001	2.500000E-001	0.000000E+000
371.1	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.000000E-001	0.000000E+000	-2.000000E-001	-2.000000E-001	0.000000E+000	2.000000E-001	0.000000E+000
373	2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-2.000000E-001	2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	2.000000E-001	0.000000E+000
374.9	0.000000E+000	2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	2.000000E-001	0.000000E+000	2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.000000E-001	2.000000E-001
376.8	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.666667E-001	1.666667E-001	1.666667E-001	0.000000E+000	1.666667E-001
378.7	0.000000E+000	1.428571E-001	0.000000E+000	1.428571E-001	0.000000E+000	0.000000E+000	0.000000E+000	1.428571E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.428571E-001	0.000000E+000	0.000000E+000
380.6	0.000000E+000	0.000000E+000	-1.428571E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.428571E-001	0.000000E+000	-1.428571E-001	0.000000E+000	0.000000E+000	1.428571E-001	0.000000E+000
382.5	0.000000E+000	0.000000E+000	1.111111E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.111111E-001	1.111111E-001	0.000000E+000	0.000000E+000	-1.111111E-001	0.000000E+000	1.111111E-001	0.000000E+000
384.4	0.000000E+000	0.000000E+000	0.000000E+000	9.090909E-002	0.000000E+000	0.000000E+000	9.090909E-002	9.090909E-002	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	9.090909E-002	0.000000E+000	0.000000E+000
386.3	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	7.142857E-002	-7.142857E-002	0.000000E+000	7.142857E-002	0.000000E+000	7.142857E-002	0.000000E+000	0.000000E+000
388.2	6.250000E-002	6.250000E-002	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	6.250000E-002	0.000000E+000	-6.250000E-002	0.000000E+000	0.000000E+000	6.250000E-002	6.250000E-002	0.000000E+000	6.250000E-002
390.1	5.555556E-002	0.000000E+000	0.000000E+000	5.555556E-002	0.000000E+000	0.000000E+000	0.000000E+000	5.555556E-002	5.555556E-002	0.000000E+000	5.555556E-002	0.000000E+000	5.555556E-002	5.555556E-002	5.555556E-002
392	0.000000E+000	0.000000E+000	4.545455E-002	0.000000E+000	0.000000E+000	0.000000E+000	4.545455E-002	0.000000E+000	0.000000E+000	0.000000E+000	4.545455E-002	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
393.9	0.000000E+000	3.125000E-002	3.125000E-002	3.125000E-002	0.000000E+000	3.125000E-002	3.125000E-002	3.125000E-002	3.125000E-002	0.000000E+000	0.000000E+000	3.125000E-002	0.000000E+000	0.000000E+000	0.000000E+000
395.7	2.083333E-002	0.000000E+000	2.083333E-002	2.083333E-002	2.083333E-002	2.083333E-002	2.083333E-002	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
397.6	0.000000E+000	0.000000E+000	0.000000E+000	1.587302E-002	0.000000E+000	0.000000E+000	1.587302E-002	1.587302E-002	0.000000E+000	0.000000E+000	1.587302E-002	0.000000E+000	1.587302E-002	0.000000E+000	0.000000E+000
399.5	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.190476E-002	0.000000E+000	1.190476E-002	0.000000E+000	0.000000E+000	0.000000E+000	1.190476E-002	-1.190476E-002	1.190476E-002
401.4	9.090909E-003	0.000000E+000	0.000000E+000	9.090909E-003	9.090909E-003	0.000000E+000	9.090909E-003	0.000000E+000	0.000000E+000	0.000000E+000	9.090909E-003	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
403.3	0.000000E+000	0.000000E+000	0.000000E+000	7.299270E-003	0.000000E+000	0.000000E+000	7.299270E-003	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	7.299270E-003
405.2	5.494505E-003	0.000000E+000	0.000000E+000	1.098901E-002	0.000000E+000	0.000000E+000	5.494505E-003	0.000000E+000	0.000000E+000	0.000000E+000	1.098901E-002	0.000000E+000	5.494505E-003	0.000000E+000	5.494505E-003
407.1	4.347826E-003	4.347826E-003	0.000000E+000	4.347826E-003	4.347826E-003	4.347826E-003	4.347826E-003	8.695652E-003	-4.347826E-003	0.000000E+000	0.000000E+000	4.347826E-003	0.000000E+000	0.000000E+000	4.347826E-003
409	3.344482E-003	0.000000E+000	3.344482E-003	0.000000E+000	0.000000E+000	0.000000E+000	3.344482E-003	3.344482E-003	0.000000E+000	3.344482E-003	0.000000E+000	0.000000E+000	3.344482E-003	0.000000E+000	3.344482E-003
410.9	0.000000E+000	0.000000E+000	2.551020E-003	2.551020E-003	2.551020E-003	2.551020E-003	2.551020E-003	2.551020E-003	2.551020E-003	2.551020E-003	0.000000E+000	0.000000E+000	2.551020E-003	0.000000E+000	2.551020E-003
412.8	0.000000E+000	0.000000E+000	1.824818E-003	0.000000E+000	0.000000E+000	0.000000E+000	1.824818E-003	1.824818E-003	0.000000E+000	0.000000E+000	1.824818E-003	0.000000E+000	1.824818E-003	0.000000E+000	1.824818E-003
414.7	0.000000E+000	1.173709E-003	1.173709E-003	1.173709E-003	1.173709E-003	1.173709E-003	1.173709E-003	0.000000E+000	1.173709E-003	0.000000E+000	1.173709E-003	0.000000E+000	0.000000E+000	1.173709E-003	1.173709E-003
416.5	0.000000E+000	7.407407E-004	7.407407E-004	1.481481E-003	7.407407E-004	7.407407E-004	7.407407E-004	7.407407E-004	0.000000E+000	7.407407E-004	0.000000E+000	0.000000E+000	0.000000E+000	7.407407E-004	0.000000E+000
418.4	0.000000E+000	0.000000E+000	1.100715E-003	5.503577E-004	5.503577E-004	5.503577E-004	5.503577E-004	0.000000E+000	0.000000E+000	5.503577E-004	0.000000E+000	0.000000E+000	5.503577E-004	0.000000E+000	5.503577E-004
420.3	0.000000E+000	0.000000E+000	8.576329E-004	8.576329E-004	4.288165E-004	0.000000E+000	0.000000E+000	0.000000E+000	4.288165E-004	4.288165E-004	4.288165E-004	4.288165E-004	4.288165E-004	0.000000E+000	0.000000E+000
422.2	3.427005E-004	0.000000E+000	3.427005E-004	6.854010E-004	3.427005E-004	0.000000E+000	3.427005E-004	0.000000E+000	0.000000E+000	0.000000E+000	3.427005E-004	3.427005E-004	3.427005E-004	0.000000E+000	0.000000E+000
424.1	0.000000E+000	0.000000E+000	2.962963E-004	2.962963E-004	5.925926E-004	2.962963E-004	2.962963E-004	0.000000E+000	0.000000E+000	0.000000E+000	2.962963E-004	0.000000E+000	0.000000E+000	2.962963E-004	0.000000E+000
426	0.000000E+000	0.000000E+000	2.606203E-004	2.606203E-004	2.606203E-004	2.606203E-004	2.606203E-004	2.606203E-004	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.606203E-004	2.606203E-004	0.000000E+000
427.9	2.369107E-004	0.000000E+000	2.369107E-004	4.738214E-004	2.369107E-004	2.369107E-004	2.369107E-004	0.000000E+000	0.000000E+000	2.369107E-004	4.738214E-004	2.369107E-004	0.000000E+000	0.000000E+000	0.000000E+000
429.8	2.175805E-004	0.000000E+000	2.175805E-004	4.351610E-004	2.175805E-004	2.175805E-004	2.175805E-004	4.351610E-004	0.000000E+000	2.175805E-004	4.351610E-004	2.175805E-004	0.000000E+000	0.000000E+000	0.000000E+000
431.6	2.058884E-004	0.000000E+000	4.117768E-004	4.117768E-004	2.058884E-004	2.058884E-004	2.058884E-004	2.058884E-004	0.000000E+000	2.058884E-004	2.058884E-004	2.058884E-004	4.117768E-004	0.000000E+000	0.000000E+000
433.5	3.923107E-004	1.961554E-004	3.923107E-004	3.923107E-004	3.923107E-004	1.961554E-004	1.961554E-004	3.923107E-004	1.961554E-004	0.000000E+000	1.961554E-004	1.961554E-004	0.000000E+000	1.961554E-004	3.923107E-004
435.4	1.862891E-004	3.725782E-004	3.725782E-004	1.862891E-004	3.725782E-004	1.862891E-004	3.725782E-004	1.862891E-004	3.725782E-004	0.000000E+000	3.725782E-004	1.862891E-004	1.862891E-004	0.000000E+000	3.725782E-004
