"","ID","week","date","time","nm","refl","rep","treatment","sensor","device"
"59","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",433.5,0.0002070393,1,"control","df","VIS"
"60","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",435.4,0.0001949698,1,"control","df","VIS"
"61","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",437.3,0.0001851166,1,"control","df","VIS"
"62","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",439.2,0.0001760253,1,"control","df","VIS"
"63","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",441.1,0.0001689189,1,"control","df","VIS"
"64","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",443,0.0001610565,1,"control","df","VIS"
"65","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",444.9,0.0001551109,1,"control","df","VIS"
"66","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",446.7,0.0001489647,1,"control","df","VIS"
"67","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",448.6,0.0001429593,1,"control","df","VIS"
"68","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",450.5,0.000275634,1,"control","df","VIS"
"69","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",452.4,0.0002660282,1,"control","df","VIS"
"70","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",454.3,0.0001285678,1,"control","df","VIS"
"71","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",456.2,0.0001239618,1,"control","df","VIS"
"72","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",458,0.0001196029,1,"control","df","VIS"
"73","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",459.9,0.0002311871,1,"control","df","VIS"
"74","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",461.8,0.0002237887,1,"control","df","VIS"
"75","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",463.7,0.0002161461,1,"control","df","VIS"
"76","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",465.6,0.0002098636,1,"control","df","VIS"
"77","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",467.4,0.0002035623,1,"control","df","VIS"
"78","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",469.3,0.0001975309,1,"control","df","VIS"
"79","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",471.2,0.0001924557,1,"control","df","VIS"
"80","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",473.1,0.0002813467,1,"control","df","VIS"
"81","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",475,0.0001825817,1,"control","df","VIS"
"82","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",476.8,0.0001783008,1,"control","df","VIS"
"83","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",478.7,0.0001747488,1,"control","df","VIS"
"84","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",480.6,0.0002568933,1,"control","df","VIS"
"85","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",482.5,0.0002518257,1,"control","df","VIS"
"86","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",484.3,0.0002472392,1,"control","df","VIS"
"87","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",486.2,0.0002429543,1,"control","df","VIS"
"88","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",488.1,0.0002386255,1,"control","df","VIS"
"89","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",490,0.0002342469,1,"control","df","VIS"
"90","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",491.8,0.0002303263,1,"control","df","VIS"
"91","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",493.7,0.0002263468,1,"control","df","VIS"
"92","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",495.6,0.000222982,1,"control","df","VIS"
"93","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",497.5,0.0002199736,1,"control","df","VIS"
"94","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",499.3,0.0002166065,1,"control","df","VIS"
"95","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",501.2,0.0002132499,1,"control","df","VIS"
"96","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",503.1,0.0002097315,1,"control","df","VIS"
"97","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",504.9,0.0002060864,1,"control","df","VIS"
"98","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",506.8,0.0002023199,1,"control","df","VIS"
"99","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",508.7,0.0002637479,1,"control","df","VIS"
"100","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",510.5,0.0003232689,1,"control","df","VIS"
"101","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",512.4,0.0003161755,1,"control","df","VIS"
"102","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",514.3,0.0003101929,1,"control","df","VIS"
"103","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",516.1,0.0003042658,1,"control","df","VIS"
"104","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",518,0.0003592814,1,"control","df","VIS"
"105","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",519.9,0.0002940139,1,"control","df","VIS"
"106","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",521.7,0.0003468208,1,"control","df","VIS"
"107","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",523.6,0.0003405415,1,"control","df","VIS"
"108","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",525.5,0.0003904943,1,"control","df","VIS"
"109","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",527.3,0.0004370629,1,"control","df","VIS"
"110","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",529.2,0.0004761149,1,"control","df","VIS"
"111","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",531.1,0.0004471605,1,"control","df","VIS"
"112","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",532.9,0.0003923791,1,"control","df","VIS"
"113","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",534.8,0.0003289149,1,"control","df","VIS"
"114","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",536.6,0.0003774772,1,"control","df","VIS"
"115","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",538.5,0.000702535,1,"control","df","VIS"
"116","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",540.4,0.0009093453,1,"control","df","VIS"
"117","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",542.2,0.000524636,1,"control","df","VIS"
"118","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",544.1,0.0004276879,1,"control","df","VIS"
"119","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",545.9,0.0004123188,1,"control","df","VIS"
"120","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",547.8,0.0007999016,1,"control","df","VIS"
"121","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",549.6,0.0006852203,1,"control","df","VIS"
"122","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",551.5,0.0006127162,1,"control","df","VIS"
"123","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",553.3,0.000427716,1,"control","df","VIS"
"124","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",555.2,0.0004134992,1,"control","df","VIS"
"125","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",557.1,0.0007977907,1,"control","df","VIS"
