"","ID","tree","device","sensor","week","rep","nm","refl"
"69","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",391,0.0415959231578948
"70","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",392,0.03225806
"71","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",393,0.0152801336842103
"72","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",394,0.000992063333333553
"73","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",395,0.0109126966666668
"74","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",396,0.0192481184210527
"75","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",397,0.0238847131578947
"76","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",398,0.0230769257894738
"77","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",399,0.0141025652631579
"78","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",400,0.00906365131578947
"79","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",401,0.0079601839473684
"80","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",402,0.00705831563157894
"81","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",403,0.00629084668421053
"82","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",404,0.0055655862631579
"83","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",405,0.00485841521052631
"84","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",406,0.00273088373684211
"85","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",407,0.000248262157894789
"86","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",408,0.0012767769473684
"87","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",409,0.002695418
"88","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",410,0.00322609484210527
"89","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",411,0.00363904842105262
"90","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",412,0.00299249263157895
"91","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",413,0.00239310768421053
"92","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",414,0.00198240610526316
"93","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",415,0.00160455216666666
"94","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",416,0.00130334272222222
"95","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",417,0.00096808589473684
"96","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",418,0.00059878168421052
