Transmitance	
Time	06/08/2024 13:59:17	06/08/2024 13:59:52	06/08/2024 14:00:32	06/08/2024 14:00:56	06/08/2024 14:02:40	06/08/2024 14:04:30	06/08/2024 14:04:57	06/08/2024 14:05:23	06/08/2024 14:05:54	06/08/2024 14:06:15	06/08/2024 14:06:34	06/08/2024 14:06:45	06/08/2024 14:16:07	06/08/2024 14:16:23	06/08/2024 14:16:33	
Name																
GPS	55° 51.7072' N  -3° 371.9475' W	55° 51.7109' N  -3° 371.9508' W	55° 51.7125' N  -3° 371.9516' W	55° 51.7100' N  -3° 371.9487' W	55° 51.7103' N  -3° 371.9495' W	55° 51.7080' N  -3° 371.9488' W	55° 51.7080' N  -3° 371.9488' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7108' N  -3° 371.9542' W	55° 51.7108' N  -3° 371.9542' W	55° 51.7142' N  -3° 371.9619' W	55° 51.7117' N  -3° 371.9569' W	55° 51.7117' N  -3° 371.9569' W	
[nm]	
380.6	-3.333333E-001	-3.333333E-001	-3.333333E-001	0.000000E+000	0.000000E+000	-3.333333E-001	-3.333333E-001	-3.333333E-001	0.000000E+000	-3.333333E-001	-3.333333E-001	-3.333333E-001	7.407407E-002	-3.703704E-002	3.703704E-002
382.5	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-5.000000E-001	-5.000000E-001	0.000000E+000	-5.000000E-001	-5.000000E-001	-5.000000E-001	-5.000000E-001	6.451613E-002	-6.451613E-002	3.225806E-002
384.4	0.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	1.000000E+000	1.000000E+000	1.000000E+000	1.000000E+000	1.000000E+000	1.000000E+000	4.651163E-002	-2.325581E-002	2.325581E-002
386.3	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	3.921569E-002	-1.960784E-002	1.960784E-002
388.2	2.500000E-001	2.500000E-001	2.500000E-001	2.500000E-001	0.000000E+000	2.500000E-001	2.500000E-001	0.000000E+000	2.500000E-001	0.000000E+000	2.500000E-001	2.500000E-001	2.857143E-002	0.000000E+000	1.428571E-002
390.1	1.000000E-001	1.000000E-001	1.000000E-001	1.000000E-001	1.000000E-001	1.000000E-001	0.000000E+000	1.000000E-001	1.000000E-001	1.000000E-001	1.000000E-001	1.000000E-001	3.488372E-002	-1.162791E-002	1.162791E-002
392	7.692308E-002	7.692308E-002	7.692308E-002	0.000000E+000	0.000000E+000	7.692308E-002	0.000000E+000	7.692308E-002	7.692308E-002	7.692308E-002	7.692308E-002	1.538462E-001	2.419355E-002	-1.612903E-002	8.064516E-003
393.9	5.263158E-002	5.263158E-002	5.263158E-002	1.052632E-001	5.263158E-002	5.263158E-002	5.263158E-002	5.263158E-002	5.263158E-002	1.052632E-001	5.263158E-002	5.263158E-002	1.169591E-002	-5.847953E-003	5.847953E-003
395.7	3.448276E-002	3.448276E-002	3.448276E-002	0.000000E+000	3.448276E-002	3.448276E-002	3.448276E-002	3.448276E-002	0.000000E+000	3.448276E-002	6.896552E-002	3.448276E-002	3.921569E-003	0.000000E+000	3.921569E-003
397.6	0.000000E+000	2.380952E-002	2.380952E-002	4.761905E-002	0.000000E+000	2.380952E-002	0.000000E+000	-2.380952E-002	2.380952E-002	2.380952E-002	2.380952E-002	2.380952E-002	6.116208E-003	0.000000E+000	6.116208E-003
399.5	1.587302E-002	3.174603E-002	1.587302E-002	1.587302E-002	0.000000E+000	1.587302E-002	1.587302E-002	1.587302E-002	1.587302E-002	1.587302E-002	1.587302E-002	3.174603E-002	7.177033E-003	-2.392344E-003	2.392344E-003
