Transmitance	
Time	06/08/2024 16:02:18	06/08/2024 16:03:24	06/08/2024 16:04:16	06/08/2024 16:05:28	06/08/2024 16:05:51	06/08/2024 16:06:22	06/08/2024 16:08:07	06/08/2024 16:08:42	06/08/2024 16:09:05	06/08/2024 16:12:55	06/08/2024 16:13:25	06/08/2024 16:13:42	06/08/2024 16:14:00	06/08/2024 16:14:18	06/08/2024 16:14:31	
Name																
GPS	55° 51.7089' N  -3° 371.9495' W	55° 51.7079' N  -3° 371.9492' W	55° 51.7110' N  -3° 371.9524' W	55° 51.7074' N  -3° 371.9491' W	55° 51.7084' N  -3° 371.9507' W	55° 51.7087' N  -3° 371.9457' W	55° 51.7072' N  -3° 371.9463' W	55° 51.7115' N  -3° 371.9501' W	55° 51.7093' N  -3° 371.9479' W	55° 51.7098' N  -3° 371.9505' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7130' N  -3° 371.9547' W	55° 51.7134' N  -3° 371.9552' W	55° 51.7134' N  -3° 371.9552' W	
[nm]	
669.7	5.249978E-002	6.412664E-002	7.292132E-002	5.354321E-002	6.239752E-002	7.792982E-002	6.490177E-002	5.870077E-002	6.639239E-002	5.834302E-002	7.810870E-002	6.120502E-002	5.879021E-002	5.867096E-002	5.503384E-002
671.6	5.229719E-002	6.391552E-002	7.300429E-002	5.344432E-002	6.232720E-002	7.776928E-002	6.485676E-002	5.847403E-002	6.612154E-002	5.823872E-002	7.785752E-002	6.073887E-002	5.862110E-002	5.838579E-002	5.500324E-002
673.6	5.254144E-002	6.392058E-002	7.274522E-002	5.347035E-002	6.226596E-002	7.765102E-002	6.458823E-002	5.843421E-002	6.609771E-002	5.805684E-002	7.762199E-002	6.061134E-002	5.849226E-002	5.843421E-002	5.497983E-002
675.5	5.265421E-002	6.406214E-002	7.306237E-002	5.368608E-002	6.251433E-002	7.793511E-002	6.466407E-002	5.864481E-002	6.618321E-002	5.824352E-002	7.779179E-002	6.047925E-002	5.835817E-002	5.835817E-002	5.517657E-002
677.4	5.279116E-002	6.392746E-002	7.325021E-002	5.372627E-002	6.276566E-002	7.792576E-002	6.491924E-002	5.891187E-002	6.633607E-002	5.843015E-002	7.781241E-002	6.064041E-002	5.851516E-002	5.848682E-002	5.531312E-002
679.3	5.310602E-002	6.424792E-002	7.345819E-002	5.391786E-002	6.312813E-002	7.852524E-002	6.519974E-002	5.915288E-002	6.665547E-002	5.859298E-002	7.816131E-002	6.080457E-002	5.856499E-002	5.878895E-002	5.562554E-002
681.2	5.348245E-002	6.455542E-002	7.385672E-002	5.422987E-002	6.355885E-002	7.897796E-002	6.582881E-002	5.960027E-002	6.710220E-002	5.888052E-002	7.881187E-002	6.103975E-002	5.879748E-002	5.910198E-002	5.589082E-002
683.2	5.394282E-002	6.527465E-002	7.443890E-002	5.473852E-002	6.414970E-002	8.009109E-002	6.639960E-002	6.036328E-002	6.777150E-002	5.932064E-002	7.995390E-002	6.181748E-002	5.923833E-002	5.959502E-002	5.616529E-002
685.1	5.425723E-002	6.613281E-002	7.490331E-002	5.499265E-002	6.509778E-002	8.116795E-002	6.744021E-002	6.109386E-002	6.869314E-002	5.970474E-002	8.133137E-002	6.300049E-002	5.970474E-002	6.044016E-002	5.654519E-002
687	5.481566E-002	6.729468E-002	7.568621E-002	5.541119E-002	6.634725E-002	8.277841E-002	6.929782E-002	6.269287E-002	7.029939E-002	6.025662E-002	8.375291E-002	6.512912E-002	6.066266E-002	6.209734E-002	5.706242E-002
